ID,MONTH,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,ENE,0.24,0.37,0.34,0.43,0.25,0.35,0.35,0.5,0.4,0.64
1,FEB,0.31,0.36,0.31,,0.41,0.35,0.35,0.59,0.4,0.41
1,MAR,0.33,0.36,0.31,,0.44,0.35,0.35,0.56,0.33,0.4
1,ABR,0.27,0.34,0.22,0.27,0.4,0.35,0.35,0.46,0.4,0.59
1,MAY,0.19,0.29,0.15,0.22,0.3,0.35,,0.52,0.4,0.64
1,JUN,0.06,0.2,0.19,0.28,0.23,0.35,,0.54,,0.62
1,JUL,0.23,0.17,0.14,0.23,0.19,0.35,,0.6,,0.5
1,AGO,0.22,0.23,0.2,0.27,0.26,0.35,,0.48,0.22,0.62
1,SEP,0.25,0.24,0.22,0.33,,0.35,,0.57,0.4,0.48
1,OCT,0.43,0.32,0.28,0.35,,0.35,,0.46,0.47,0.37
1,NOV,0.33,0.31,0.26,0.27,,0.35,,0.43,0.55,0.3
1,DIC,0.27,0.23,0.28,0.22,,0.35,,0.4,0.66,
2,ENE,0.04,0.04,0.04,0.05,0.03,,0.09,,0.03,0.06
2,FEB,0.03,,0.02,0.05,0.03,,0.19,,0.04,0.07
2,MAR,0.03,0.05,0.03,0.06,0.04,,0.02,,0.06,
2,ABR,0.03,0.05,0.05,0.07,,,0.03,,0.13,0.08
2,MAY,0.05,0.12,0.08,0.08,,,0.06,,0.18,0.1
2,JUN,0.12,0.12,0.1,0.12,,,,,0.16,0.1
2,JUL,0.31,0.13,0.14,0.1,,,,,0.14,0.08
2,AGO,0.25,0.1,0.11,0.12,,0.05,,,0.12,0.05
2,SEP,0.13,0.12,0.12,0.1,,0.04,,,0.12,
2,OCT,0.11,0.11,0.1,0.08,,0.02,,,0.09,
2,NOV,0.07,0.08,0.07,0.07,,0.01,,,0.09,
2,DIC,0.04,0.04,0.05,0.03,,0.01,,,0.07,
3,ENE,0.68,1.43,0.43,,0.5,0.31,1.17,,2.44,1.18
3,FEB,0.74,1.42,0.9,,1.5,0.31,,,2.69,1
3,MAR,0.96,1.36,0.64,1.18,0.75,0.32,2.03,2.82,1.95,0.95
3,ABR,0.78,1.38,0.41,0.58,0.3,0.31,2.09,2.25,2,0.94
3,MAY,0.88,0.81,0.55,0.52,0.39,,,2.26,1.86,0.97
3,JUN,0.69,0.64,0.59,0.5,0.43,0.31,,2.52,1.86,0.98
3,JUL,0.65,0.54,0.45,0.46,0.59,0.31,,2.32,1.92,0.94
3,AGO,0.61,0.62,0.45,0.46,0.61,0.31,,2.23,1.64,0.96
3,SEP,0.76,0.56,0.61,0.64,0.62,0.37,,2.66,1.34,
3,OCT,1.11,0.77,0.86,0.86,0.32,0.39,,2.46,,
3,NOV,0.92,0.87,1.13,0.57,0.37,0.51,,3.36,,
3,DIC,0.87,0.56,1.05,0.37,0.31,0.7,,5.04,1.25,
4,ENE,,0.02,,0.02,0.02,0.02,0.02,0.03,0.02,0.03
4,FEB,0.01,0.01,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03
4,MAR,0.02,0.01,0.04,0.02,0.05,0.02,0.03,0.03,0.03,0.04
4,ABR,0.03,0.04,0.04,0.03,0.05,0.06,0.05,0.04,0.05,0.05
4,MAY,0.05,0.07,0.11,,0.03,0.15,0.06,0.07,0.03,
4,JUN,0.05,0.02,0.07,,,0.08,,0.06,0.03,
4,JUL,,,0.07,,,0.08,0.05,,0.03,
4,AGO,,,0.07,,,0.08,0.05,,0.05,
4,SEP,,,0.08,,0.01,0.1,0.05,,0.05,
4,OCT,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.04,0.05,
4,NOV,0.02,0.04,0.03,0.03,0.03,0.02,0.04,0.04,0.04,
4,DIC,0.01,0.03,0.02,0.03,0.02,0.02,0.03,0.03,0.03,
5,ENE,0.04,0.18,,0.21,0.19,0.15,0.8,,0.16,0.15
5,FEB,0.07,0.18,0.16,0.21,0.19,0.14,0.49,,0.15,0.15
5,MAR,0.11,0.17,0.16,0.25,0.26,0.14,0.3,,0.16,0.15
5,ABR,0.11,0.17,0.18,0.25,0.28,0.14,0.19,,0.18,0.15
5,MAY,,,0.64,,0.2,,,,0.13,0.15
5,JUN,,1.25,1.32,,,,,,,0.15
5,JUL,,1.48,1.92,,,,,,,0.15
5,AGO,0.24,1.53,1.92,,,,,,,0.15
5,SEP,0.28,0.43,0.91,,,,,,0.15,
5,OCT,0.14,0.28,0.1,0.36,,,,,0.15,
5,NOV,,0.35,,0.3,,0.54,,0.43,0.15,
5,DIC,0.19,0.16,0.21,0.22,,0.84,,0.22,0.15,
6,ENE,0.73,1.24,0.74,1.82,0.59,1.07,1.83,3.45,1.36,0.63
6,FEB,1.16,1.18,0.67,1.33,1.15,,1.22,3.15,1.51,0.14
6,MAR,1,1.43,0.51,1.09,,1.04,1.19,3.24,1.24,0.24
6,ABR,0.51,1.12,0.09,0.36,,0.62,1.33,1.97,0.71,0.08
6,MAY,0.21,0.55,0.12,0.14,,0.3,19.47,1.56,0.23,0.04
6,JUN,0.15,0.35,0.04,0.14,,0.59,19.01,2.18,,0.05
6,JUL,0.1,0.64,0.01,0.02,,0.62,2.58,1.28,,0.05
6,AGO,0.07,0.01,0.01,0.02,0.37,0.82,0.76,0.92,,0.05
6,SEP,0.89,0.44,0.42,0.67,0.64,1.11,0.86,0.9,,
6,OCT,1.44,1.41,0.96,0.77,0.87,1.29,1.62,1.27,,
6,NOV,0.96,0.98,0.97,0.83,1.08,1.55,2.74,1.18,,
6,DIC,0.9,0.35,1.8,0.19,1.09,1.76,3.21,1.3,,
7,ENE,0.13,0.3,0.09,0.21,0.23,,1.33,1.28,0.63,0.67
7,FEB,0.13,0.16,0.09,0.19,0.19,,2.03,1.1,0.58,0.56
7,MAR,0.16,0.19,0.08,0.22,1.08,,0.68,1.05,0.6,0.62
7,ABR,0.27,0.26,0.16,0.29,1.06,,0.48,1.1,0.64,0.49
7,MAY,0.37,0.4,0.32,0.42,0.83,,,1.68,0.76,0.59
7,JUN,0.48,0.47,0.45,0.47,0.89,0.48,,1.54,2.01,0.58
7,JUL,0.51,0.47,0.46,0.51,0.64,0.66,,1.51,0.67,0.49
7,AGO,0.56,0.49,0.46,0.52,0.79,0.68,,,0.7,0.6
7,SEP,0.44,0.52,0.46,0.51,0.78,0.65,1.44,1.19,0.7,
7,OCT,0.51,0.57,0.41,0.43,0.77,0.75,1.27,,0.53,
7,NOV,0.38,0.47,0.36,0.29,0.66,0.87,1.2,0.85,0.44,
7,DIC,0.33,0.2,0.26,0.25,0.5,0.83,1.22,0.86,0.39,
,ENE,,,,,,,,,,
,FEB,,,,,,,,,,
,MAR,,,,,,,,,,
,ABR,,,,,,,,,,
,MAY,,,,,,,,,,
,JUN,,,,,,,,,,
,JUL,,,,,,,,,,
,AGO,,,,,,,,,,
,SEP,,,,,,,,,,
,OCT,,,,,,,,,,
,NOV,,,,,,,,,,
,DIC,,,,,,,,,,
,ENE,,,,,,,,,,
,FEB,,,,,,,,,,
,MAR,,,,,,,,,,
,ABR,,,,,,,,,,
,MAY,,,,,,,,,,
,JUN,,,,,,,,,,
,JUL,,,,,,,,,,
,AGO,,,,,,,,,,
,SEP,,,,,,,,,,
,OCT,,,,,,,,,,
,NOV,,,,,,,,,,
,DIC,,,,,,,,,,
,ENE,,,,,,,,,,
,FEB,,,,,,,,,,
,MAR,,,,,,,,,,
,ABR,,,,,,,,,,
,MAY,,,,,,,,,,
,JUN,,,,,,,,,,
,JUL,,,,,,,,,,
,AGO,,,,,,,,,,
,SEP,,,,,,,,,,
,OCT,,,,,,,,,,
,NOV,,,,,,,,,,
,DIC,,,,,,,,,,
